gene	ISV	WSV	pv	pv.BH	pv.Bonf
ABCB11	0.457295011225366	0.542704988774634	0.0271629082397889	0.0464602844969295	1
ABCB4	0.748876767952348	0.251123232047652	6.57833022041548e-15	1.64209008898517e-13	1.21350457576004e-10
ABCB5	0.418950797233387	0.581049202766613	0.112767597926712	0.152196654883967	1
ABCB7	0.610119835638452	0.389880164361548	8.63601901672049e-07	5.0286819066112e-06	0.0159308642801443
ABCB8	0.441998864241059	0.558001135758941	0.0504021687716784	0.0777644569134853	1
ABCB9	0.386221716896454	0.613778283103546	0.275747327555564	0.323623295038649	1
ABCC1	0.618686344544648	0.381313655455352	3.71872207790991e-07	2.35655328654085e-06	0.00685992661712041
ABCC10	0.419791952224967	0.580208047775033	0.109787592454205	0.148817085605315	1
ABCC11	0.500283597067982	0.499716402932018	0.00328459728126434	0.00769995756099672	1
ABCC12	0.47593812322285	0.52406187677715	0.0116468399761543	0.0227145224310912	1
ABCC13	0.508247724954706	0.491752275045294	0.00208450118770512	0.00522669476819306	1
ABCC2	0.510635109084156	0.489364890915844	0.00181162517687614	0.00463638313510464	1
ABCC3	0.815155526202456	0.184844473797544	2.76664548098656e-21	1.79074769079857e-19	5.10363091877591e-17
ABCC4	0.699741550568471	0.300258449431529	2.02321355075191e-11	2.81040816044582e-10	3.73222203707204e-07
ABCC5	0.535049555123207	0.464950444876793	0.000387039498248	0.00121094260925727	1
ABCC6	0.426959130561661	0.573040869438339	0.0866962424681935	0.122008360147297	1
ABCC8	0.400095739400813	0.599904260599187	0.195422523361518	0.241829965013076	1
ABCC9	0.41030660253488	0.58969339746512	0.146837574621008	0.189991775200515	1
ABCD1	0.577170800875726	0.422829199124274	1.64833657981115e-05	7.29181412176889e-05	0.304068648877763
ABCD2	0.549640345393474	0.450359654606526	0.000139549240545182	0.000492493751738466	1
ABCD3	0.560450555111083	0.439549444888917	6.23898278491389e-05	0.000239871853758455	1
ABCD4	0.504603267629796	0.495396732370205	0.00257318937569296	0.00623999269270514	1
ABCE1	0.510010837910102	0.489989162089898	0.00187966142016926	0.0047832962088374	1
ABCF1	0.281284980469474	0.718715019530526	0.932445239766677	0.936557624848954	1
ABCF2	0.473758551983396	0.526241448016604	0.0129284623423348	0.0248273313376067	1
ABCF3	0.395503043308992	0.604496956691008	0.220235769936822	0.267722520462903	1
ABCG1	0.539976272326241	0.460023727673759	0.000276567347683757	0.000903140000481903	1
ABCG2	0.738745297092156	0.261254702907844	4.05091676281422e-14	8.9386676463677e-13	7.4727261523634e-10
ABCG4	0.38996129539682	0.61003870460318	0.25254581384184	0.300639689464405	1
ABCG5	0.430392182537078	0.569607817462922	0.0770327910935285	0.11064579127169	1
ABCG8	0.44311322223608	0.55688677776392	0.0482929860417521	0.0750135326298585	1
ABHD1	0.476073242102889	0.523926757897111	0.0115711561748212	0.0225804631288402	1
ABHD10	0.56860995537409	0.43139004462591	3.30210486518057e-05	0.00013639482411103	0.60913928447986
ABHD11	0.618555467323236	0.381444532676764	3.76783476090035e-07	2.38358188732266e-06	0.00695052478343288
ABHD12	0.610566106435721	0.389433893564279	8.27181504755438e-07	4.83952338034366e-06	0.0152590172182236
ABHD12B	0.333619445492798	0.666380554507202	0.664168272337969	0.688116378535159	1
ABHD13	0.457918716875941	0.542081283124059	0.0264484069225846	0.0455124778452349	1
ABHD14A	0.568342696666694	0.431657303333306	3.37298509276779e-05	0.00013910452941267	0.622214560062875
ABHD14B	0.570434946436564	0.429565053563436	2.85424626574587e-05	0.000119555587793402	0.526522808642141
ABHD15	0.656208390533015	0.343791609466985	6.16186412544229e-09	5.49651390338655e-08	0.000113667907522034
ABHD2	0.676067608447551	0.323932391552449	5.22140022469913e-10	5.63929566422862e-09	9.63191699450248e-06
ABHD3	0.646579940132093	0.353420059867907	1.88696414145194e-08	1.52804335019157e-07	0.00034808827517364
ABHD4	0.730363518900417	0.269636481099583	1.70279483118273e-13	3.39216590181725e-12	3.14114562508277e-09
ABHD5	0.648155669613233	0.351844330386767	1.57636538479718e-08	1.29068851546177e-07	0.000290792122533536
ABHD6	0.551577119805566	0.448422880194434	0.000121184924758678	0.000433740455378995	1
ABHD8	0.417390157627315	0.582609842372685	0.118451399144472	0.158764292670063	1
ABI1	0.454101315265671	0.545898684734329	0.0310796898840145	0.0519977361953941	1
ABI2	0.614574356356409	0.385425643643591	5.59519419574616e-07	3.39745053748944e-06	0.0103214547328929
ABI3	0.600148085478446	0.399851914521554	2.21132669627367e-06	1.18479069317922e-05	0.0407923435661604
ABI3BP	0.328542390019248	0.671457609980752	0.700142546286398	0.721094832859426	1
ABL1	0.498664009157647	0.501335990842354	0.00359385668874122	0.00831087806659261	1
ABL2	0.527194416095984	0.472805583904016	0.000650040144773539	0.00189735609978441	1
ABLIM1	0.744228690947629	0.255771309052371	1.53213189333563e-14	3.62814339362804e-13	2.82632370363624e-10
ABLIM2	0.437338733195324	0.562661266804676	0.0600363398614099	0.0898572301357751	1
ABLIM3	0.691929618825711	0.308070381174289	6.15249001245313e-11	7.77895704316127e-10	1.13494983259723e-06
ABO	0.606607558459172	0.393392441540829	1.20855769518036e-06	6.84082964191227e-06	0.0222942638029921
ABP1	0.28769101318271	0.71230898681729	0.912962488028404	0.918789908164756	1
ABR	0.615654161464304	0.384345838535696	5.02972701832479e-07	3.08763308842054e-06	0.00927833743070374
ABRA	0.381625626762503	0.618374373237497	0.305705044995597	0.352745415965082	1
ABT1	0.473600013835617	0.526399986164383	0.0130262766220694	0.0249865576424367	1
ABTB1	0.599623558909732	0.400376441090268	2.32070688617973e-06	1.23943485609026e-05	0.0428100799293575
ABTB2	0.419391118129216	0.580608881870784	0.111200399785299	0.150444721293686	1
ACAA1	0.399148129614328	0.600851870385672	0.20039340577314	0.247119269757144	1
ACAA2	0.564777970709699	0.435222029290301	4.46597222279469e-05	0.000179056269493357	0.823837895938937
ACACA	0.507765954191773	0.492234045808227	0.00214388206640549	0.00535230646623117	1
ACACB	0.772176920891421	0.22782307910858	6.89167405452955e-17	2.31146747788921e-15	1.27130711283907e-12
ACAD10	0.408624138057084	0.591375861942916	0.154215260371557	0.198285976725038	1
ACAD8	0.476136738668278	0.523863261331723	0.011535737908633	0.0225208759869355	1
ACAD9	0.87082147531362	0.12917852468638	3.70215448809867e-29	6.44279658886378e-27	6.82936438419561e-25
ACADL	0.365690237280114	0.634309762719886	0.419681765434324	0.462662826735343	1
ACADM	0.544053457660433	0.455946542339567	0.000208076385674601	0.000700818894748834	1
ACADS	0.58895625819192	0.41104374180808	6.04253954696993e-06	2.94963553910967e-05	0.111466727022954
ACADSB	0.502346951111423	0.497653048888577	0.00292529010865554	0.00697284230964837	1
ACADVL	0.592609131715547	0.407390868284453	4.37727023331323e-06	2.20140414378214e-05	0.080747503993929
ACAN	0.330097354262478	0.669902645737522	0.689289431616957	0.711227326604654	1
ACAP2	0.518133770875795	0.481866229124205	0.00115186862442036	0.0031280024311324	1
ACAP3	0.481486879863175	0.518513120136825	0.00887040594569726	0.0179855329171551	1
ACAT1	0.547069460569256	0.452930539430745	0.00016794413374151	0.000579370658116374	1
ACAT2	0.558079108578605	0.441920891421395	7.47137653053991e-05	0.000282774893021891	1
ACBD3	0.419743007143892	0.580256992856108	0.109959401866446	0.14902807187057	1
ACBD4	0.404483057710537	0.595516942289463	0.173428338602007	0.218780863173851	1
ACBD5	0.51167134284362	0.48832865715638	0.0017036055923337	0.0043959172418212	1
ACBD6	0.587466623810683	0.412533376189317	6.88081476000645e-06	3.31757422576683e-05	0.126930389877839
ACBD7	0.375785452167834	0.624214547832166	0.345850283381144	0.39210252458558	1
ACCN1	0.342071907097404	0.657928092902596	0.601392430279601	0.631159251372123	1
ACCN2	0.726334847484961	0.27366515251504	3.32569278264318e-13	6.31163114829411e-12	6.13490547614188e-09
ACCN3	0.519710055805962	0.480289944194038	0.00104480544663969	0.00287707509690436	1
ACCN4	0.402213465216764	0.597786534783236	0.184595997952838	0.230504459096731	1
ACCN5	0.347625918144985	0.652374081855015	0.558831938208842	0.592049894563434	1
ACCS	0.828542509865276	0.171457490134724	6.61820860357594e-23	5.47471274036616e-21	1.22086094110165e-18
ACCSL	0.476742033149479	0.523257966850521	0.0112028103381984	0.021954556709736	1
ACD	0.33181174850494	0.66818825149506	0.677150965113021	0.70011231103239	1
ACE	0.518410723812757	0.481589276187243	0.00113236116335722	0.00308429171729458	1
ACE2	0.421163605081324	0.578836394918676	0.105052167849621	0.143346204624747	1
ACER1	0.638465867932472	0.361534132067528	4.66984172284563e-08	3.52303487161648e-07	0.000861445702613334
ACER2	0.472156307441239	0.527843692558761	0.0139468814848423	0.0264498943919899	1
ACER3	0.722986658856976	0.277013341143024	5.74379280609446e-13	1.03523660476164e-11	1.05955745894024e-08
ACHE	0.444056359334272	0.555943640665728	0.0465640068452187	0.0728678515671657	1
ACIN1	0.50952989011042	0.49047010988958	0.0019336475766604	0.00490373679691728	1
ACLY	0.504587415083915	0.495412584916086	0.00257552370130083	0.00624401179102333	1
ACMSD	0.351823290222595	0.648176709777405	0.526326413839458	0.56172866262625	1
ACN9	0.434656870381058	0.565343129618942	0.06620845682912	0.0975828861558627	1
ACO1	0.640779519445128	0.359220480554872	3.61868583273316e-08	2.79656043386798e-07	0.000667538975564286
ACO2	0.427178127089189	0.572821872910811	0.0860535971328796	0.121242702689241	1
ACOT1	0.342836474135969	0.657163525864031	0.595579734598632	0.625806525640292	1
ACOT11	0.513503658984085	0.486496341015915	0.00152680816558244	0.00400698842840308	1
ACOT12	0.522568837766492	0.477431162233508	0.000873531259085283	0.00246655918205208	1
