pattern	fraction
1	0.4632352941176471
2	0.4319526627218935
3	0.40611353711790393
4	0.608
5	0.43529411764705883
6	0.6539923954372624
7	0.712280701754386
8	0.6496598639455783
9	0.25892857142857145
10	0.3372093023255814
11	0.7111111111111111
12	0.6
13	0.6415094339622641
14	0.44954128440366975
